id,name,lat,lon
1975,1975,41.393838951601246,2.1425692275790063
1976,1976,41.388831612805134,2.14256922757878
1977,1977,41.38892263259129,2.1376589176891434
1978,1978,41.38391484053973,2.137658917688917
1979,1979,41.38382382277125,2.1425692275785515
1980,1980,41.378815581545794,2.142569227578323
1981,1981,41.37380688917509,2.142569227578096
1982,1982,41.37389790289938,2.137658917688464
1983,1983,41.37890659729368,2.13765891768869
1984,1984,41.37899739413763,2.132749144777599
1985,1985,41.379087972145776,2.12783990892775
1986,1986,41.37407927371906,2.1278399089275233
1987,1987,41.37398869772466,2.1327491447773723
1988,1988,41.368979550206845,2.1327491447771463
1989,1989,41.36907012418453,2.1278399089272977
1990,1990,41.36396995163051,2.132749144776919
1991,1991,41.36387916085143,2.1376589176880096
1993,1993,41.368797745705436,2.142569227577869
